episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,num_healthy_workers,trial_id,experiment_tag,info/num_steps_trained,info/num_steps_sampled,info/sample_time_ms,info/grad_time_ms,info/update_time_ms,info/opt_peak_throughput,info/sample_peak_throughput,info/opt_samples,perf/cpu_util_percent,perf/ram_util_percent,info/learner/policy_0/cur_lr,info/learner/policy_0/policy_loss,info/learner/policy_0/policy_entropy,info/learner/policy_0/var_gnorm,info/learner/policy_0/vf_loss,info/learner/policy_0/grad_gnorm,info/learner/policy_0/vf_explained_var,info/learner/policy_1/cur_lr,info/learner/policy_1/policy_loss,info/learner/policy_1/policy_entropy,info/learner/policy_1/var_gnorm,info/learner/policy_1/vf_loss,info/learner/policy_1/grad_gnorm,info/learner/policy_1/vf_explained_var,info/learner/policy_2/cur_lr,info/learner/policy_2/policy_loss,info/learner/policy_2/policy_entropy,info/learner/policy_2/var_gnorm,info/learner/policy_2/vf_loss,info/learner/policy_2/grad_gnorm,info/learner/policy_2/vf_explained_var,info/learner/policy_3/cur_lr,info/learner/policy_3/policy_loss,info/learner/policy_3/policy_entropy,info/learner/policy_3/var_gnorm,info/learner/policy_3/vf_loss,info/learner/policy_3/grad_gnorm,info/learner/policy_3/vf_explained_var,info/learner/policy_4/cur_lr,info/learner/policy_4/policy_loss,info/learner/policy_4/policy_entropy,info/learner/policy_4/var_gnorm,info/learner/policy_4/vf_loss,info/learner/policy_4/grad_gnorm,info/learner/policy_4/vf_explained_var,info/learner/policy_5/cur_lr,info/learner/policy_5/policy_loss,info/learner/policy_5/policy_entropy,info/learner/policy_5/var_gnorm,info/learner/policy_5/vf_loss,info/learner/policy_5/grad_gnorm,info/learner/policy_5/vf_explained_var,info/learner/policy_6/cur_lr,info/learner/policy_6/policy_loss,info/learner/policy_6/policy_entropy,info/learner/policy_6/var_gnorm,info/learner/policy_6/vf_loss,info/learner/policy_6/grad_gnorm,info/learner/policy_6/vf_explained_var,info/learner/policy_7/cur_lr,info/learner/policy_7/policy_loss,info/learner/policy_7/policy_entropy,info/learner/policy_7/var_gnorm,info/learner/policy_7/vf_loss,info/learner/policy_7/grad_gnorm,info/learner/policy_7/vf_explained_var
nan,nan,nan,nan,0,1280,False,1280,0,1,898b49f8760c4ef09591a3d567ad6d5f,2020-05-17_10-33-20,1589726000,30.879273653030396,30.879273653030396,35116,dream,129.2.189.145,30.879273653030396,1280,1,8,3b869b5a,0,1280,1280,24821.805,1201.846,4841.994,1065.028,51.568,1280.0,52.58888888888888,58.844444444444434,0.000699999975040555,124.66258,2059.699,23.892454,28.599592,40.0,-0.0020076036,0.000699999975040555,130.49977,2059.8044,23.832132,29.047525,40.0,-0.0037406683,0.000699999975040555,268.88907,2059.881,23.8594,222.5552,40.0,8.85725e-05,0.000699999975040555,125.8641,2059.3328,23.88863,5.0265026,40.0,0.018529832,0.000699999975040555,107.49528,2059.5881,23.878157,3.6540122,40.000004,-0.0092384815,0.000699999975040555,98.98711,2059.5852,23.867704,3.565118,40.000004,-0.031312823,0.000699999975040555,265.24622,2059.6738,23.92126,229.80159,40.0,0.0020477176,0.000699999975040555,263.42142,2058.1008,23.854198,219.51842,39.999996,0.01118201
nan,nan,nan,nan,0,7680,False,8960,0,2,898b49f8760c4ef09591a3d567ad6d5f,2020-05-17_10-33-31,1589726011,10.565659046173096,41.44493269920349,35116,dream,129.2.189.145,41.44493269920349,8960,2,8,3b869b5a,0,8960,8960,5003.146,201.141,712.637,6363.695,255.839,1280.0,47.779999999999994,62.799999999999976,0.0006999552133493125,106.82379,2057.9543,23.926544,72.81705,39.999996,0.018771827,0.0006999552133493125,89.137695,2058.7559,23.868004,3.1944115,39.348312,0.08861339,0.0006999552133493125,64.09039,2059.8196,23.893892,2.3344994,29.453436,0.030451298,0.0006999552133493125,91.01875,2058.8494,23.923944,77.72433,40.0,0.026125908,0.0006999552133493125,81.98436,2057.7407,23.915825,3.8994608,40.0,0.24903256,0.0006999552133493125,15.879319,2055.9927,23.907804,2.282733,10.430567,0.1629036,0.0006999552133493125,36.512947,2057.7874,23.950651,1.6432267,19.18115,-0.043617725,0.0006999552133493125,38.110672,2058.127,23.885426,2.0513072,21.44993,0.1546331
nan,nan,nan,nan,0,7680,False,16640,0,3,898b49f8760c4ef09591a3d567ad6d5f,2020-05-17_10-33-42,1589726022,10.480291604995728,51.92522430419922,35116,dream,129.2.189.145,51.92522430419922,16640,3,8,3b869b5a,0,16640,16640,1702.983,34.797,22.976,36784.527,751.622,1280.0,49.18,62.799999999999976,0.0006996864103712142,14.491466,2051.0874,24.001997,3.538936,9.686525,0.28340316,0.0006996864103712142,94.76424,2055.928,23.94791,147.69862,39.999996,0.04505211,0.0006996864103712142,5.867138,2059.2847,23.965681,6.267091,5.8092628,0.14373726,0.0006996864103712142,-47.504333,2055.867,24.00145,5.016946,34.138607,0.10822731,0.0006996864103712142,75.62466,2053.9097,23.980167,146.24533,40.0,0.034460664,0.0006996864103712142,-55.42756,2042.0391,23.958807,4.4369245,40.0,-0.021984577,0.0006996864103712142,-50.279568,2055.2844,24.009468,3.9561596,38.988316,0.15519571,0.0006996864103712142,-45.126816,2057.2827,23.938108,3.0770173,34.16472,0.034694374
nan,nan,nan,nan,0,7680,False,24320,0,4,898b49f8760c4ef09591a3d567ad6d5f,2020-05-17_10-33-52,1589726032,10.395325660705566,62.320549964904785,35116,dream,129.2.189.145,62.320549964904785,24320,4,8,3b869b5a,0,24320,24320,1682.394,33.944,22.729,37709.077,760.821,1280.0,50.24,62.799999999999976,0.0006994176073931158,-23.559711,2028.2339,24.080381,63.407944,23.736801,0.168499,0.0006994176073931158,233.83313,2052.587,24.0121,362.8512,40.000004,0.07432741,0.0006994176073931158,80.22297,2059.0781,24.01958,211.09177,40.0,0.039731026,0.0006994176073931158,46.63366,2052.7734,24.051567,184.3699,40.0,0.07273191,0.0006994176073931158,180.25955,2038.7439,24.051119,428.43015,40.0,0.07914764,0.0006994176073931158,122.82207,2002.7697,23.976545,336.01938,40.0,0.025000393,0.0006994176073931158,230.01807,2049.024,24.035748,427.21973,40.0,0.02275467,0.0006994176073931158,-49.045578,2045.7767,23.956676,3.4290864,36.559265,0.40242702
nan,nan,nan,nan,0,7680,False,32000,0,5,898b49f8760c4ef09591a3d567ad6d5f,2020-05-17_10-34-02,1589726042,10.322614192962646,72.64316415786743,35116,dream,129.2.189.145,72.64316415786743,32000,5,8,3b869b5a,0,32000,32000,1658.894,35.582,22.421,35973.685,771.598,1280.0,50.086666666666666,62.87999999999999,0.0006991488044150174,148.92097,1958.8202,24.164188,483.35046,40.0,0.14308071,0.0006991488044150174,176.76286,2032.188,24.086746,517.7176,40.0,0.109846056,0.0006991488044150174,76.88698,2058.4275,24.02987,173.43298,39.999996,0.02909249,0.0006991488044150174,-1.5718384,2029.031,24.097363,228.95659,39.999996,0.08791065,0.0006991488044150174,296.31134,1944.5494,24.14219,800.1664,40.0,0.05600959,0.0006991488044150174,587.8253,1867.9147,24.02751,1147.8665,40.0,0.026247025,0.0006991488044150174,599.1935,2030.4556,24.065311,1044.165,40.0,0.06313735,0.0006991488044150174,101.71961,2046.5359,23.960249,186.5586,39.999996,0.028200448
83.57000000000039,22.730000000000413,42.67062500000016,501.0,64,7680,False,39680,64,6,898b49f8760c4ef09591a3d567ad6d5f,2020-05-17_10-34-14,1589726054,11.174759149551392,83.81792330741882,35116,dream,129.2.189.145,83.81792330741882,39680,6,8,3b869b5a,0,39680,39680,1736.854,36.414,23.152,35151.289,736.965,1280.0,48.29375,62.9,0.000698880001436919,121.049706,1837.5544,24.244692,771.0875,40.0,0.117694914,0.000698880001436919,189.52176,1974.0443,24.156256,498.0365,39.999996,0.18791628,0.000698880001436919,-49.998108,2056.2534,24.0377,5.955678,35.743847,0.43341488,0.000698880001436919,31.029608,1997.347,24.118816,175.22084,40.0,0.046305954,0.000698880001436919,-189.9972,1752.7142,24.20963,364.89926,39.999996,0.16936159,0.000698880001436919,375.47293,1716.2632,24.080452,985.48114,39.999992,0.06459266,0.000698880001436919,282.65125,2006.5212,24.09908,724.57465,39.999996,0.10446209,0.000698880001436919,199.93555,2040.4854,23.973091,357.07477,40.0,0.04629749
83.57000000000039,22.730000000000413,42.67062500000016,501.0,0,7680,False,47360,64,7,898b49f8760c4ef09591a3d567ad6d5f,2020-05-17_10-34-24,1589726064,10.398816585540771,94.2167398929596,35116,dream,129.2.189.145,94.2167398929596,47360,7,8,3b869b5a,0,47360,47360,1706.713,37.386,23.978,34237.12,749.98,1280.0,48.47333333333333,62.89999999999999,0.0006986111984588206,-276.04715,1644.697,24.336826,659.7289,39.999996,0.091870844,0.0006986111984588206,-189.50076,1755.7524,24.244196,381.82547,40.0,0.1471672,0.0006986111984588206,28.998423,2046.4348,24.054958,134.01169,40.0,0.15008926,0.0006986111984588206,-52.981495,1971.9584,24.132778,72.845795,40.0,0.111704946,0.0006986111984588206,-243.43576,1494.4089,24.245632,520.7332,40.0,0.006391585,0.0006986111984588206,4.364113,1437.2153,24.143337,660.9651,40.000004,0.049291074,0.0006986111984588206,-232.442,1914.1001,24.156765,380.75906,40.0,0.12522715,0.0006986111984588206,119.01244,2002.0153,24.000895,426.07617,40.0,0.12068635
83.57000000000039,22.730000000000413,42.67062500000016,501.0,0,8960,False,56320,64,8,898b49f8760c4ef09591a3d567ad6d5f,2020-05-17_10-34-35,1589726075,11.035138845443726,105.25187873840332,35116,dream,129.2.189.145,105.25187873840332,56320,8,8,3b869b5a,0,56320,56320,1544.421,38.416,22.71,33319.116,828.79,1280.0,49.38666666666666,62.89999999999999,0.0006983423954807222,-336.7556,1631.8372,24.342705,526.6042,39.999996,-0.00808084,0.0006983423954807222,-22.689014,1633.9354,24.264406,717.1801,40.0,0.06445092,0.0006983423954807222,712.23865,1948.6128,24.093964,1360.22,40.0,0.15189093,0.0006983423954807222,-44.14967,1979.3013,24.13033,3.546895,36.114258,0.4773289,0.0006983423954807222,-148.88184,1428.3519,24.24487,503.53265,40.0,0.059731483,0.0006983423954807222,224.09644,1628.6365,24.168692,1297.6343,40.0,0.021935701,0.0006983423954807222,26.324364,1705.2064,24.215775,1279.6055,40.0,0.020636797,0.0006983423954807222,511.65082,1803.5509,24.071577,1564.0746,40.0,0.033727765
191.74999999999974,13.889999999999779,76.71700000000037,501.0,64,8960,False,65280,128,9,898b49f8760c4ef09591a3d567ad6d5f,2020-05-17_10-34-46,1589726086,10.771334886550903,116.02321362495422,35116,dream,129.2.189.145,116.02321362495422,65280,9,8,3b869b5a,0,65280,65280,1468.034,36.458,23.041,35109.015,871.915,1280.0,50.0625,62.9,0.0006980287726037204,-532.7535,1886.2871,24.288689,636.5716,40.0,-0.24135852,0.0006980287726037204,-842.8029,1892.0504,24.257154,716.7478,40.0,-0.6154119,0.0006980287726037204,-511.0823,1902.6145,24.163383,786.27563,40.000004,-0.38337255,0.0006980287726037204,-70.57489,1996.2919,24.115253,67.886,40.000004,0.09422016,0.0006980287726037204,-509.29422,1723.778,24.226105,734.48047,39.999996,-0.24437928,0.0006980287726037204,-728.80334,1877.417,24.176544,931.52356,40.000004,-0.33259988,0.0006980287726037204,-891.3255,1847.1785,24.230352,1026.9454,40.000004,-0.9299004,0.0006980287726037204,-984.5405,1893.918,24.138433,1297.1091,40.0,-1.0
191.74999999999974,13.889999999999779,76.71700000000037,501.0,0,7680,False,72960,128,10,898b49f8760c4ef09591a3d567ad6d5f,2020-05-17_10-34-56,1589726096,10.373289585113525,126.39650321006775,35116,dream,129.2.189.145,126.39650321006775,72960,10,8,3b869b5a,0,72960,72960,1598.901,35.472,23.819,36084.618,800.55,1280.0,49.16666666666666,62.89999999999999,0.0006977152079343796,705.14954,1867.3287,24.2823,1603.2878,40.0,0.023278415,0.0006977152079343796,386.78214,1897.2349,24.261816,1095.1587,39.999996,0.151218,0.0006977152079343796,496.31436,1705.9816,24.219303,1283.0361,40.000004,0.030291557,0.0006977152079343796,106.373764,2016.6199,24.107279,107.55993,40.000004,0.19995707,0.0006977152079343796,683.1807,1592.84,24.22484,1744.417,40.0,0.026004732,0.0006977152079343796,437.91806,1847.604,24.18608,1243.5275,40.0,0.028336227,0.0006977152079343796,636.10864,1803.7838,24.232965,1671.1572,39.999996,0.02763319,0.0006977152079343796,894.06854,1863.5332,24.16681,1972.6499,40.0,0.098175764
